,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,,,,,tt2101347,,,,,,,Patricia Sims,Director,,,,
0,Domestic,"Jan 24, 2014","$840,506","$1,264,515",tt1188982,,,,,,,,,,,,
0,Domestic,"Sep 29, 2017","$43,293","$955,925",tt5859238,,,,,,,,,,,,
0,,,,,tt4982356,,,,,,,Paul Spurrier,Director,,,,
0,,,,,tt3923004,,,,,,,Ben Milliken,Director,,,,
0,,,,,tt3281502,,,,,,,Li Lu,Director,,,,
0,,,,,tt1555084,,,,,,,Michale Boganim,Director,,,,
0,Domestic,"Apr 27, 2018","$39,699","$892,421",tt6423776,,,,,,,,,,,,
0,Domestic,"Jan 19, 2018","$17,175","$35,757",tt6235786,,,,,,,,,,,,
0,,,,,tt2547650,,,,,,,Brian Higgins,Director,,,,
0,,,,,tt1078904,,,,,,,Jonathan W. Stokes,Director,,,,
0,,,,,tt1401669,Original Release,"September 29, 2011",Germany,–,"$42,981","$42,981",,,,,,
0,,,,,tt3280262,,,,,,,Don Mancini,Director,,,,
0,,,,,tt5724358,,,,,,,Igor Lopatonok,Director,,,,
0,Domestic,"Apr 25, 2018",–,"$1,190",tt5700402,,,,,,,,,,,,
0,,,,,tt2607378,,,,,,,Sloan Copeland,Director,,,,
0,,,,,tt1808673,,,,,,,Saul Landau,Director,,,,
